id,image,name,old_price,new_price,category,save
96,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/oxifree-to-support-immunity-20pieces-of-chocolate-jqka-01688920985.png,Oxifree | to Support Immunity | 30 Pcs of Chocolate,,207,medication,
97,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/isopto-maxitrol-eye-drops-5ml-nhhj-01682631442.png,Isopto Maxitrol | Eye Drops | 5Ml,,18,medication,
98,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/apexidone-mental-disorders-3mg-30tab-ug9s-01666015319.png,Apexidone | Mental Disorders | 3 mg | 30 Tab,,126,medication,
99,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/haldol-decanoas-antipsychotics-50mg1ml-1amp-npa9-01665940844.png,Haldol Decanoas | Antipsychotics | 50 mg / 1 ml | 1 Amp,,57,medication,
100,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/apidone-anti-allergic-125ml-susp-eolb-01675345257.png,Apidone | Susp Antihistamine & Anti-Inflammatory | 125ml,,15,medication,
101,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/ultracaine-gel-5-30gm-mlrv-01666136042.png,Ultracaine | Gel 5% | 30GM,,15.5,medication,
102,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/arythrex-osteoporosis-relief-200mg-20cap-dwzv-01666607514.png,Arythrex | Osteoporosis Relief 200mg | 20 Caps,,94,medication,
103,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/lenex-foot-cream-50-gm-cream-evjs-01694355814.png,Linex | Cream | 50 gm,,Low,medication,
104,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/flector-arthritis-25g-gel-sgun-01666260407.png,Flector | Arthritis Gel | 25gm,,20,medication,
105,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/abilify-antipsychotic-5mg-10tab-ogv8-01670340054.png,Abilify | Antipsychotic 5mg | 10 Tabs,,134.5,medication,
106,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/cogintol-anti-parkinsonian-2mg-20tab-dtpb-01665934129.png,Cogintol | Anti-Parkinsonian | 2 mg | 20 Tab,,30,medication,
107,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/aspirin-protect-100mg-30-tab-d4lv-01668675854.png,Aspirin Protect 100mg | 30 Tabs,,36,medication,
